inv_no,billed_on,zimmer_cust_no,customer,sku_id,description,cat_name,customer_po,qty,price,net_sales_amount,commission_rate,Commission Total,Year,Month
854135,1/13/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2414,SCRW 2.4X14MM CANCELOUS LOCKNG,SternaLock,482655,6,50,300,19,57,2022,1
854135,1/13/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,SternaLock,482655,10,50,500,19,95,2022,1
854135,1/13/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,74-0004,SL360 MULTI-IMPLANT SYSTEM,SternaLock,482655,1,3811,3811,19,724,2022,1
854144,1/13/22,08846901,CLEVELAND CLINIC INDIAN RIVER,046-023,SW #6 18IN BE#2 6PK 12PK,Single Use,258016,3,398,1194,19,227,2022,1
854144,1/13/22,08846901,CLEVELAND CLINIC INDIAN RIVER,046-031,SW #6 18IN CCS1 2PK 12PK,Single Use,258016,3,127,381,19,72,2022,1
854654,1/14/22,22953401,HCA - PALMS WEST HOSPITAL,050-070,SUCTN HC 4.5 IN 8FR FTIP 10BOX,Single Use,482688,1,133,133,19,25,2022,1
854731,1/18/22,00006612,ALEX PAINO,86-27-14,TRITIUM SCR 2.7X14MM 1EA,DI,00000000000000WED WKLY,4,0,0,19,0,2022,1
854731,1/18/22,00006612,ALEX PAINO,86-27-16,TRITIUM SCR 2.7X16MM 1EA,DI,00000000000000WED WKLY,4,0,0,19,0,2022,1
854731,1/18/22,00006612,ALEX PAINO,86-30-16,TRITIUM EMG SCR 3.0X16MM 1EA,DI,00000000000000WED WKLY,1,0,0,19,0,2022,1
854731,1/18/22,00006612,ALEX PAINO,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,DI,00000000000000WED WKLY,2,0,0,19,0,2022,1
854731,1/18/22,00006612,ALEX PAINO,PDBP-001-2,TRITIUM POWERDRVR BATTRY,DI,00000000000000WED WKLY,10,0,0,19,0,2022,1
855022,1/18/22,00006612,ALEX PAINO,70-2001,HIGH TORQUE DRIVER,DI,000000000000WEEKLYDIDI,2,0,0,19,0,2022,1
855022,1/18/22,00006612,ALEX PAINO,73-2414,SCRW 2.4X14MM CANCELOUS LOCKNG,DI,000000000000WEEKLYDIDI,6,0,0,19,0,2022,1
855022,1/18/22,00006612,ALEX PAINO,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,DI,000000000000WEEKLYDIDI,10,0,0,19,0,2022,1
855022,1/18/22,00006612,ALEX PAINO,74-0004,SL360 MULTI-IMPLANT SYSTEM,DI,000000000000WEEKLYDIDI,0,0,0,19,0,2022,1
854751,1/18/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,70-2001,HIGH TORQUE DRIVER,RibFix Adv,478340,2,105,209,19,40,2022,1
854751,1/18/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2414,SCRW 2.4X14MM CANCELOUS LOCKNG,SternaLock,478340,8,50,400,19,76,2022,1
854751,1/18/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,74-0003,SL360 SINGLE X-PLATE IMPLANT,SternaLock,478340,1,1411,1411,19,268,2022,1
854978,1/18/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,70-2001,HIGH TORQUE DRIVER,RibFix Adv,481277,1,105,105,19,20,2022,1
854978,1/18/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,SternaLock,481277,8,50,400,19,76,2022,1
854978,1/18/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,74-0003,SL360 SINGLE X-PLATE IMPLANT,SternaLock,481277,1,1411,1411,19,268,2022,1
854979,1/18/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,080-401,RSP 4.0MM 6BOX ST,Single Use,485340,4,113,454,19,86,2022,1
854801,1/18/22,12267201,MARTIN MEMORIAL HOSPITAL,046-237,DW SS #6 14IN CCS1 3PK 12PK,Single Use,5556957,2,775,1550,19,295,2022,1
855110,1/18/22,12267201,MARTIN MEMORIAL HOSPITAL,019-530,DISPPATCBL 2.0 6FT W 8PK,Single Use,5561058,2,113,227,19,43,2022,1
854904,1/18/22,23446901,DELRAY MEDICAL CENTER,86-27-12,TRITIUM SCR 2.7X12MM 1EA,Tritium,200530545,4,67,267,19,51,2022,1
854904,1/18/22,23446901,DELRAY MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,200530545,4,67,267,19,51,2022,1
854904,1/18/22,23446901,DELRAY MEDICAL CENTER,86-30-12,TRITIUM EMG SCR 3.0X12MM 1EA,Tritium,200530545,2,67,134,19,25,2022,1
854904,1/18/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200530545,2,670,1340,19,255,2022,1
854904,1/18/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200530545,2,80,160,19,30,2022,1
854909,1/18/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,024-200,UFM O 26MM HCIR 89MM KN 24PK,Single Use,333599463,5,317,1585,19,301,2022,1
854909,1/18/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,025-200,UFM O 26MM HCIR 89MM KN 24PK,Single Use,333599463,1,343,343,19,65,2022,1
854918,1/18/22,23907601,NORTH COUNTY SURGICENTER,050-005,SUCTN 6IN 10FR STD TIP 10BX ST,Single Use,485013,1,102,102,19,19,2022,1
854940,1/18/22,70033301,FLORIDA MEDICAL CENTER,111-ED-050,JEIL POWER DRIVER SINGLE USE,Tritium,230155348,2,159,317,19,60,2022,1
854940,1/18/22,70033301,FLORIDA MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,230155348,12,54,648,19,123,2022,1
854940,1/18/22,70033301,FLORIDA MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,230155348,3,603,1809,19,344,2022,1
854940,1/18/22,70033301,FLORIDA MEDICAL CENTER,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,Tritium,230155348,2,70,140,19,27,2022,1
855206,1/19/22,00076801,CLEVELAND CLINIC / WESTON,040-337,DW SS#6 14IN CCS#1 NDL 4PK12PK,Single Use,00000000000CCF22034002,1,1100,1100,19,209,2022,1
856046,1/20/22,00006612,ALEX PAINO,323.1013,RIBFIX ADV SHT BRDG & 23MM PST,DI,000000000tuesdayweekly,0,0,0,19,0,2022,1
856046,1/20/22,00006612,ALEX PAINO,323.1090,RIBFIX ADV GUIDE CABLE,DI,000000000tuesdayweekly,8,0,0,19,0,2022,1
855816,1/20/22,00006612,ALEX PAINO,323.1090,RIBFIX ADV GUIDE CABLE,DI,SysLink DI-6602234-TUE,4,0,0,19,0,2022,1
855835,1/20/22,00076801,CLEVELAND CLINIC / WESTON,040-337,DW SS#6 14IN CCS#1 NDL 4PK12PK,Single Use,00000000000CCF22036289,2,1100,2200,19,418,2022,1
855866,1/20/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,70-2001,HIGH TORQUE DRIVER,RibFix Adv,481740,2,105,209,19,40,2022,1
855866,1/20/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,SternaLock,481740,14,50,700,19,133,2022,1
855866,1/20/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2418,SCRW 2.4X18MM CANCELOUS LOCKNG,SternaLock,481740,6,50,300,19,57,2022,1
855866,1/20/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2622,PLATE 4 HOLE SQUARE,SternaLock,481740,1,376,376,19,71,2022,1
855866,1/20/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,74-0004,SL360 MULTI-IMPLANT SYSTEM,SternaLock,481740,1,3811,3811,19,724,2022,1
855997,1/20/22,23446901,DELRAY MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,200532263,8,67,534,19,101,2022,1
855997,1/20/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200532263,2,670,1340,19,255,2022,1
855997,1/20/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200532263,2,80,160,19,30,2022,1
856176,1/20/22,23446901,DELRAY MEDICAL CENTER,046-267,DW SS #6 14INCCS2 3PK 12PK,Single Use,200532988,3,1073,3219,19,612,2022,1
856223,1/21/22,00076801,CLEVELAND CLINIC / WESTON,040-337,DW SS#6 14IN CCS#1 NDL 4PK12PK,Single Use,00000000000CCF22037649,2,1100,2200,19,418,2022,1
856338,1/21/22,23446901,DELRAY MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,200532829,4,67,267,19,51,2022,1
856338,1/21/22,23446901,DELRAY MEDICAL CENTER,86-27-16,TRITIUM SCR 2.7X16MM 1EA,Tritium,200532829,4,67,267,19,51,2022,1
856338,1/21/22,23446901,DELRAY MEDICAL CENTER,86-30-16,TRITIUM EMG SCR 3.0X16MM 1EA,Tritium,200532829,1,67,67,19,13,2022,1
856338,1/21/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200532829,2,670,1340,19,255,2022,1
856338,1/21/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200532829,2,80,160,19,30,2022,1
856689,1/24/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,86-PLTCUTTER-2,TRITIUM PLATE CUTTER 1EA,Tritium,487844,6,393,2356,19,448,2022,1
856801,1/24/22,12267201,MARTIN MEMORIAL HOSPITAL,025-200,UFM O 26MM HCIR 89MM KN 24PK,Single Use,5594297,2,215,430,19,82,2022,1
857059,1/25/22,00006612,ALEX PAINO,111-ED-050,JEIL POWER DRIVER SINGLE USE,DI,00000DI TUESDAY WEEKLY,1,0,0,19,0,2022,1
857059,1/25/22,00006612,ALEX PAINO,86-27-14,TRITIUM SCR 2.7X14MM 1EA,DI,00000DI TUESDAY WEEKLY,16,0,0,19,0,2022,1
857059,1/25/22,00006612,ALEX PAINO,86-27-16,TRITIUM SCR 2.7X16MM 1EA,DI,00000DI TUESDAY WEEKLY,18,0,0,19,0,2022,1
857059,1/25/22,00006612,ALEX PAINO,86-300,TRITIUM DBL CABLE PLATE 6HOLE,DI,00000DI TUESDAY WEEKLY,2,0,0,19,0,2022,1
857059,1/25/22,00006612,ALEX PAINO,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,DI,00000DI TUESDAY WEEKLY,5,0,0,19,0,2022,1
857059,1/25/22,00006612,ALEX PAINO,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,DI,00000DI TUESDAY WEEKLY,1,0,0,19,0,2022,1
857059,1/25/22,00006612,ALEX PAINO,PDBP-001-2,TRITIUM POWERDRVR BATTRY,DI,00000DI TUESDAY WEEKLY,10,0,0,19,0,2022,1
857275,1/25/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,040-337,DW SS#6 14IN CCS#1 NDL 4PK12PK,Single Use,333599935,1,1431,1431,19,272,2022,1
857404,1/25/22,00006612,ALEX PAINO,70-2001,HIGH TORQUE DRIVER,DI,00000000000TUES WEEKLY,4,0,0,19,0,2022,1
857404,1/25/22,00006612,ALEX PAINO,73-2414,SCRW 2.4X14MM CANCELOUS LOCKNG,DI,00000000000TUES WEEKLY,16,0,0,19,0,2022,1
857404,1/25/22,00006612,ALEX PAINO,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,DI,00000000000TUES WEEKLY,20,0,0,19,0,2022,1
857404,1/25/22,00006612,ALEX PAINO,73-2622,PLATE 4 HOLE SQUARE,DI,00000000000TUES WEEKLY,1,0,0,19,0,2022,1
857609,1/26/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,86-27-16,TRITIUM SCR 2.7X16MM 1EA,Tritium,5.10E+14,18,54,972,19,185,2022,1
857609,1/26/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,86-300,TRITIUM DBL CABLE PLATE 6HOLE,Tritium,5.10E+14,2,597,1194,19,227,2022,1
857609,1/26/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,5.10E+14,1,603,603,19,115,2022,1
857620,1/26/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,111-ED-050,JEIL POWER DRIVER SINGLE USE,Tritium,333600099,2,159,317,19,60,2022,1
857620,1/26/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,333600099,8,54,432,19,82,2022,1
857620,1/26/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,333600099,2,603,1206,19,229,2022,1
857620,1/26/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,Tritium,333600099,2,70,140,19,27,2022,1
857946,1/27/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,70-2001,HIGH TORQUE DRIVER,RibFix Adv,488597,2,105,209,19,40,2022,1
857946,1/27/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2416,SCRW 2.4X16MM CANCELOUS LOCKNG,SternaLock,488597,20,50,1000,19,190,2022,1
857946,1/27/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2622,PLATE 4 HOLE SQUARE,SternaLock,488597,1,376,376,19,71,2022,1
857946,1/27/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,74-0004,SL360 MULTI-IMPLANT SYSTEM,SternaLock,488597,1,3811,3811,19,724,2022,1
858019,1/27/22,23446901,DELRAY MEDICAL CENTER,111-ED-050,JEIL POWER DRIVER SINGLE USE,Tritium,200533465,1,179,179,19,34,2022,1
858019,1/27/22,23446901,DELRAY MEDICAL CENTER,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,200533465,8,67,534,19,101,2022,1
858019,1/27/22,23446901,DELRAY MEDICAL CENTER,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,200533465,2,670,1340,19,255,2022,1
858019,1/27/22,23446901,DELRAY MEDICAL CENTER,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,Tritium,200533465,1,80,80,19,15,2022,1
858019,1/27/22,23446901,DELRAY MEDICAL CENTER,PDBP-001-2,TRITIUM POWERDRVR BATTRY,Tritium,200533465,2,80,160,19,30,2022,1
858553,1/28/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,86-27-12,TRITIUM SCR 2.7X12MM 1EA,Tritium,5.10E+14,6,54,324,19,62,2022,1
858553,1/28/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,5.10E+14,4,54,216,19,41,2022,1
858553,1/28/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,86-300,TRITIUM DBL CABLE PLATE 6HOLE,Tritium,5.10E+14,1,597,597,19,113,2022,1
858553,1/28/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,5.10E+14,1,603,603,19,115,2022,1
858554,1/28/22,23376001,TRINITY HEALTH EAST - HOLY CROSS,025-200,UFM O 26MM HCIR 89MM KN 24PK,Single Use,5.10E+14,2,343,686,19,130,2022,1
858683,1/28/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,111-ED-050,JEIL POWER DRIVER SINGLE USE,Tritium,333600134,4,159,634,19,120,2022,1
858683,1/28/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,86-27-12,TRITIUM SCR 2.7X12MM 1EA,Tritium,333600134,12,54,648,19,123,2022,1
858683,1/28/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,86-27-14,TRITIUM SCR 2.7X14MM 1EA,Tritium,333600134,4,54,216,19,41,2022,1
858683,1/28/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,86-350-S,TRITIUM 4HOLE DBL 2X CBL PLATE,Tritium,333600134,4,603,2412,19,458,2022,1
858683,1/28/22,23622001,FLORIDA SERVICE CTR - PALM BEACH,94-DRIVERBIT-S,THORECON DISP POWER DRIVER BIT,Tritium,333600134,4,70,280,19,53,2022,1
858687,1/28/22,70033301,FLORIDA MEDICAL CENTER,025-200,UFM O 26MM HCIR 89MM KN 24PK,Single Use,000000000000090D334274,1,310,310,19,59,2022,1
858775,1/31/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,70-2001,HIGH TORQUE DRIVER,RibFix Adv,488630,2,105,209,19,40,2022,1
858775,1/31/22,01030220,HCA - LAWNWOOD REGIONAL MEDICAL,73-2414,SCRW 2.4X14MM CANCELOUS LOCKNG,SternaLock,488630,16,50,800,19,152,2022,1
